# z   photoionization_HI   photoheating_HI   photoionization_HeI   photoheating_HeI   photoionization_HeII   photoheating_HeII 
3.870000000000000107e+00 8.339999999999999804e-13 3.039999999999999971e-12 3.750000000000000177e-13 2.149999999999999926e-12 7.039999999999999518e-17 3.380000000000000097e-15
4.110000000000000320e+00 8.020000000000000158e-13 2.939999999999999993e-12 3.650000000000000098e-13 2.090000000000000182e-12 5.299999999999999840e-17 2.560000000000000183e-15
4.360000000000000320e+00 7.770000000000000213e-13 2.859999999999999930e-12 3.599999999999999806e-13 2.049999999999999949e-12 4.040000000000000073e-17 1.939999999999999969e-15
4.620000000000000107e+00 7.580000000000000013e-13 2.809999999999999941e-12 3.589999999999999849e-13 2.040000000000000193e-12 2.979999999999999859e-17 1.439999999999999930e-15
4.889999999999999680e+00 7.449999999999999557e-13 2.790000000000000027e-12 3.609999999999999764e-13 2.040000000000000193e-12 2.210000000000000104e-17 1.060000000000000067e-15
5.179999999999999716e+00 7.320000000000000111e-13 2.759999999999999953e-12 3.630000000000000183e-13 2.049999999999999949e-12 1.660000000000000103e-17 7.720000000000000213e-16
5.490000000000000213e+00 7.090000000000000082e-13 2.679999999999999890e-12 3.550000000000000019e-13 1.999999999999999960e-12 1.260000000000000075e-17 5.579999999999999952e-16
5.809999999999999609e+00 6.090000000000000304e-13 2.290000000000000138e-12 2.969999999999999967e-13 1.659999999999999995e-12 9.879999999999999813e-18 4.020000000000000241e-16
6.139999999999999680e+00 3.110000000000000048e-15 1.860000000000000089e-14 3.770000000000000123e-15 3.209999999999999701e-14 7.830000000000000707e-18 2.819999999999999971e-16
6.490000000000000213e+00 7.290000000000000129e-16 4.410000000000000268e-15 8.939999999999999330e-16 7.649999999999999273e-15 3.450000000000000131e-18 1.449999999999999896e-16
6.860000000000000320e+00 3.370000000000000033e-16 2.050000000000000179e-15 4.160000000000000051e-16 3.550000000000000098e-15 1.720000000000000092e-18 8.030000000000000567e-17
7.250000000000000000e+00 2.149999999999999930e-16 1.319999999999999953e-15 2.680000000000000161e-16 2.260000000000000042e-15 9.339999999999999990e-19 4.540000000000000186e-17
7.650000000000000355e+00 1.559999999999999958e-16 9.579999999999999869e-16 1.949999999999999885e-16 1.630000000000000060e-15 5.209999999999999625e-19 2.559999999999999937e-17
8.070000000000000284e+00 1.200000000000000024e-16 7.439999999999999608e-16 1.520000000000000047e-16 1.259999999999999964e-15 2.939999999999999860e-19 1.429999999999999941e-17
8.519999999999999574e+00 9.669999999999999852e-17 6.020000000000000200e-16 1.239999999999999935e-16 1.020000000000000008e-15 1.679999999999999920e-19 7.950000000000000068e-18
8.990000000000000213e+00 7.960000000000000169e-17 4.990000000000000226e-16 1.029999999999999974e-16 8.489999999999999906e-16 9.969999999999999960e-20 4.460000000000000150e-18
9.480000000000000426e+00 6.670000000000000408e-17 4.209999999999999877e-16 8.699999999999999621e-17 7.190000000000000476e-16 6.269999999999999907e-20 2.580000000000000138e-18
9.990000000000000213e+00 5.659999999999999773e-17 3.579999999999999994e-16 7.429999999999999445e-17 6.150000000000000340e-16 4.280000000000000048e-20 1.559999999999999981e-18
1.050000000000000000e+01 4.829999999999999722e-17 3.079999999999999758e-16 6.400000000000000458e-17 5.309999999999999509e-16 3.210000000000000036e-20 1.010000000000000018e-18
1.109999999999999964e+01 4.150000000000000258e-17 2.650000000000000166e-16 5.520000000000000210e-17 4.589999999999999643e-16 2.589999999999999917e-20 6.959999999999999943e-19
1.169999999999999929e+01 3.560000000000000162e-17 2.269999999999999908e-16 4.739999999999999738e-17 3.939999999999999928e-16 2.109999999999999931e-20 5.000000000000000358e-19
1.230000000000000071e+01 3.060000000000000049e-17 1.960000000000000048e-16 4.079999999999999860e-17 3.389999999999999865e-16 1.780000000000000110e-20 3.720000000000000235e-19
1.300000000000000000e+01 2.649999999999999920e-17 1.690000000000000098e-16 3.530000000000000168e-17 2.929999999999999786e-16 1.539999999999999967e-20 2.820000000000000209e-19
1.369999999999999929e+01 2.300000000000000088e-17 1.469999999999999974e-16 3.060000000000000049e-17 2.550000000000000021e-16 1.330000000000000067e-20 2.129999999999999933e-19
1.440000000000000036e+01 2.000000000000000143e-17 1.280000000000000092e-16 2.660000000000000021e-17 2.209999999999999919e-16 1.159999999999999991e-20 1.579999999999999971e-19
