# z   photoionization_HI   photoheating_HI   photoionization_HeI   photoheating_HeI   photoionization_HeII   photoheating_HeII 
2.240000000000000213e+00 9.423374999999999719e-13 3.512437500000000097e-12 4.781887499999999904e-13 3.440774999999999745e-12 4.714285714285712793e-15 8.963428571428569088e-14
2.319999999999999840e+00 9.384375000000001602e-13 3.477337500000000378e-12 4.699987500000000020e-13 3.339374999999999794e-12 4.402346666666666710e-15 8.406933333333334151e-14
2.399999999999999911e+00 9.316124999999999343e-13 3.434925000000000129e-12 4.604925000000000192e-13 3.226274999999999801e-12 4.055040000000000511e-15 7.796800000000001422e-14
2.479999999999999982e+00 9.199125000000000952e-13 3.380324999999999937e-12 4.487924999999999782e-13 3.093674999999999336e-12 3.692425000000000041e-15 7.155500000000000408e-14
2.564999999999999947e+00 9.045705882352941828e-13 3.315688235294117488e-12 4.356988235294117403e-13 2.944958823529411542e-12 3.297387499999999388e-15 6.454249999999999988e-14
2.649999999999999911e+00 8.850705882352942154e-13 3.241588235294117228e-12 4.216588235294117315e-13 2.785058823529411789e-12 2.862749999999999827e-15 5.670500000000000299e-14
2.740000000000000213e+00 8.649333333333333704e-13 3.161599999999999776e-12 4.069866666666666262e-13 2.618199999999999083e-12 2.385074999999999022e-15 4.804249999999998184e-14
2.830000000000000071e+00 8.454333333333334030e-13 3.079699999999999893e-12 3.925566666666666563e-13 2.454399999999999316e-12 1.890964705882352564e-15 3.939811764705880878e-14
2.924999999999999822e+00 8.253631578947369034e-13 2.997252631578946951e-12 3.786284210526315864e-13 2.311673684210526152e-12 1.370844444444444899e-15 3.032333333333334263e-14
3.020000000000000018e+00 8.058631578947368350e-13 2.919252631578947081e-12 3.661484210526315224e-13 2.202473684210526173e-12 9.156888888888887229e-16 2.210266666666666479e-14
3.115000000000000213e+00 7.859936842105263358e-13 2.843099999999999467e-12 3.544073684210525727e-13 2.106205263157894809e-12 5.051663157894734118e-16 1.453042105263157111e-14
3.209999999999999964e+00 7.657136842105263455e-13 2.769000000000000015e-12 3.434873684210526556e-13 2.024305263157894522e-12 3.326863157894738611e-16 1.041642105263158197e-14
3.314999999999999947e+00 7.448257142857142315e-13 2.693228571428571582e-12 3.328371428571428831e-13 1.948514285714285680e-12 1.749347368421053135e-16 6.558315789473685819e-15
3.367499999999999716e+00 7.350757142857141973e-13 2.658128571428571863e-12 3.281571428571428970e-13 1.917314285714285974e-12 1.486736842105264803e-16 5.731578947368425627e-15
3.419999999999999929e+00 7.253257142857141631e-13 2.623028571428571336e-12 3.234771428571428604e-13 1.886114285714285461e-12 1.224126315789474005e-16 4.904842105263159124e-15
3.530000000000000249e+00 7.064672727272726579e-13 2.557690909090909100e-12 3.149781818181818476e-13 1.826618181818181907e-12 8.454285714285709667e-17 3.663523809523807391e-15
3.584999999999999964e+00 6.976922727272727281e-13 2.528440909090908997e-12 3.112731818181818649e-13 1.799318181818182013e-12 7.589999999999999827e-17 3.337400000000000154e-15
3.640000000000000124e+00 6.889172727272726974e-13 2.499190909090909298e-12 3.075681818181818318e-13 1.772018181818181918e-12 6.725714285714283823e-17 3.011276190476189367e-15
3.754999999999999893e+00 6.723430434782608501e-13 2.443943478260869740e-12 3.008934782608695973e-13 1.727360869565217512e-12 5.427800000000001271e-17 2.499000000000000572e-15
3.812500000000000000e+00 6.647380434782609042e-13 2.418593478260869651e-12 2.979684782608695870e-13 1.709810869565217451e-12 4.974700000000000500e-17 2.308100000000000172e-15
3.870000000000000107e+00 6.571330434782608574e-13 2.393243478260869562e-12 2.950434782608695768e-13 1.692260869565217187e-12 4.521599999999999729e-17 2.117199999999999772e-15
3.990000000000000213e+00 6.432399999999999935e-13 2.348450000000000156e-12 2.902250000000000078e-13 1.663349999999999976e-12 3.820730434782609689e-17 1.811460869565218026e-15
4.050000000000000711e+00 6.369999999999999111e-13 2.328950000000000088e-12 2.882750000000000010e-13 1.651649999999999935e-12 3.531478260869562450e-17 1.681756521739129430e-15
4.110000000000000320e+00 6.307600000000000305e-13 2.309450000000000019e-12 2.863249999999999942e-13 1.639950000000000095e-12 3.242226086956520757e-17 1.552052173913043004e-15
4.235000000000000320e+00 6.197099999999999918e-13 2.274480000000000220e-12 2.835300000000000551e-13 1.620839999999999988e-12 2.794549999999998739e-17 1.344383333333332897e-15
4.297500000000000320e+00 6.148350000000000757e-13 2.258880000000000165e-12 2.825550000000000516e-13 1.613039999999999961e-12 2.595174999999997902e-17 1.250424999999999212e-15
4.360000000000000320e+00 6.099600000000000586e-13 2.243279999999999707e-12 2.815799999999999977e-13 1.605240000000000135e-12 2.395800000000000148e-17 1.156466666666666907e-15
4.490000000000000213e+00 6.015000000000000118e-13 2.218800000000000199e-12 2.805600000000000182e-13 1.596600000000000285e-12 2.088064000000001094e-17 1.006368000000000579e-15
4.554999999999999716e+00 5.977950000000000796e-13 2.209050000000000165e-12 2.803650000000000377e-13 1.594650000000000278e-12 1.943920000000002210e-17 9.354400000000010560e-16
4.620000000000000107e+00 5.940900000000000464e-13 2.199300000000000130e-12 2.801700000000000068e-13 1.592700000000000272e-12 1.799776000000001785e-17 8.645120000000007444e-16
4.754999999999999893e+00 5.880477777777777438e-13 2.186888888888889107e-12 2.805111111111111130e-13 1.591200000000000126e-12 1.553369230769230571e-17 7.478307692307690353e-16
4.822499999999999787e+00 5.855127777777777955e-13 2.182988888888889093e-12 2.809011111111110739e-13 1.591200000000000126e-12 1.432284615384615094e-17 6.907153846153846069e-16
4.889999999999999680e+00 5.829777777777777462e-13 2.179088888888888676e-12 2.812911111111110854e-13 1.591200000000000126e-12 1.311200000000001466e-17 6.336000000000007701e-16
