# k[h/mpc]  pk_dm  pk_gas    
1.584890000000000040e-03 1.719178771824640019e-05 1.719178771824640019e-05
1.685260000000000057e-03 1.817312063651839731e-05 1.817312063651839731e-05
1.791980000000000092e-03 1.920316787916800079e-05 1.920316787916800079e-05
1.905460000000000096e-03 2.028319780372480081e-05 2.028319780372480081e-05
2.026130000000000118e-03 2.141438481530880109e-05 2.141438481530880109e-05
2.154430000000000147e-03 2.259771541422079849e-05 2.259771541422079849e-05
2.290869999999999972e-03 2.383403517214719664e-05 2.383403517214719664e-05
2.435940000000000154e-03 2.512395477975039909e-05 2.512395477975039909e-05
2.590199999999999968e-03 2.646770911805440251e-05 2.646770911805440251e-05
2.754229999999999873e-03 2.786539213946880015e-05 2.786539213946880015e-05
2.928640000000000149e-03 2.931672198676479871e-05 2.931672198676479871e-05
3.114109999999999795e-03 3.082094704066560138e-05 3.082094704066560138e-05
3.311310000000000035e-03 3.237703382466560110e-05 3.237703382466560110e-05
3.521010000000000199e-03 3.398333817159680082e-05 3.398333817159680082e-05
3.743980000000000051e-03 3.563779312844799998e-05 3.563779312844799998e-05
3.981069999999999748e-03 3.733781500395519788e-05 3.733781500395519788e-05
4.233179999999999582e-03 3.908016243998720042e-05 3.908016243998720042e-05
4.501250000000000043e-03 4.086103036395519981e-05 4.086103036395519981e-05
4.786300000000000276e-03 4.267576813158400155e-05 4.267576813158400155e-05
5.089400000000000000e-03 4.451925533655039750e-05 4.451925533655039750e-05
5.411700000000000191e-03 4.638543204843519280e-05 4.638543204843519280e-05
5.754399999999999793e-03 4.826758066995200596e-05 4.826758066995200596e-05
6.118809999999999701e-03 5.015790315110400100e-05 5.015790315110400100e-05
6.506289999999999643e-03 5.204822563225599603e-05 5.204822563225599603e-05
6.918310000000000431e-03 5.392868311040000196e-05 5.392868311040000196e-05
7.356419999999999799e-03 5.578941058252800256e-05 5.578941058252800256e-05
7.822279999999999164e-03 5.761913375948800157e-05 5.761913375948800157e-05
8.317639999999999409e-03 5.940563882803199570e-05 5.940563882803199570e-05
8.844370000000000703e-03 6.113530268876800160e-05 6.113530268876800160e-05
9.404449999999999962e-03 6.279403248025600191e-05 6.279403248025600191e-05
1.000000000000000021e-02 6.436679581696000613e-05 6.436679581696000613e-05
1.063330000000000004e-02 6.583668126515199615e-05 6.583668126515199615e-05
1.130659999999999998e-02 6.718677739110400806e-05 6.718677739110400806e-05
1.202259999999999961e-02 6.839782395084799600e-05 6.839782395084799600e-05
1.278400000000000022e-02 6.945009093836799531e-05 6.945009093836799531e-05
1.359360000000000082e-02 7.032337858560000054e-05 7.032337858560000054e-05
1.445439999999999919e-02 7.099560807628800573e-05 7.099560807628800573e-05
1.536970000000000003e-02 7.144470059417599138e-05 7.144470059417599138e-05
1.634309999999999929e-02 7.164904708505600585e-05 7.164904708505600585e-05
1.737800000000000109e-02 7.158656873267200255e-05 7.158656873267200255e-05
1.847849999999999840e-02 7.123800529305600337e-05 7.123800529305600337e-05
1.964870000000000158e-02 7.058644533247999020e-05 7.058644533247999020e-05
2.089299999999999838e-02 6.961920527564800028e-05 6.961920527564800028e-05
2.221599999999999964e-02 6.833111774003200510e-05 6.833111774003200510e-05
2.362289999999999876e-02 6.672594082201599214e-05 6.672594082201599214e-05
2.511889999999999956e-02 6.481729762099199216e-05 6.481729762099199216e-05
2.670960000000000001e-02 6.263149481164799871e-05 6.263149481164799871e-05
2.840099999999999916e-02 6.020752264396799522e-05 6.020752264396799522e-05
3.019950000000000065e-02 5.759658518118400904e-05 5.759658518118400904e-05
3.211189999999999878e-02 5.485834220339199529e-05 5.485834220339199529e-05
3.414550000000000224e-02 5.205856039731200560e-05 5.205856039731200560e-05
3.630780000000000118e-02 4.926300644966399671e-05 4.926300644966399671e-05
3.860709999999999836e-02 4.653378290319359895e-05 4.653378290319359895e-05
4.105190000000000228e-02 4.392524122685439309e-05 4.392524122685439309e-05
4.365159999999999874e-02 4.148069348147199759e-05 4.148069348147199759e-05
4.641590000000000299e-02 3.923170767667199388e-05 3.923170767667199388e-05
4.935520000000000185e-02 3.719679243714560049e-05 3.719679243714560049e-05
5.248069999999999818e-02 3.537998771650559818e-05 3.537998771650559818e-05
5.580419999999999825e-02 3.376757646295040359e-05 3.376757646295040359e-05
